rating,comment,time,votes
5,非主流少年拯救皮肤病儿童,2009/12/16 12:58,796
5,初三时候看的 简直是日本文化的一次大启蒙，超帅的长剑，纯萌的萝莉，酷毙了，我的灵魂也浪了起来，十几年后再看，烂。,2016/10/26 20:47,362
4,据说是游戏改编电影最成功的一部，果然很精彩，画面够美，打斗够炫。,2012/1/5 16:04,225
4,唉，CG真棒啊,2006/10/31 16:20,126
4,VINCENT,2009/8/10 0:33,51
4,全CG电脑动画经典之作，还有我特别喜欢男主角克劳德的发型！,2017/4/8 21:58,50
5,去看了4K重映。刚开场心想，当年的CG终究过时了吧……看完：卧槽，我来电影院就是想看这样的！这下明白了，《RWBY》的灵魂导演MO大，为什么最开始是做最终幻想7打斗同人起家的了。打得也太帅了。光蒂法就满分了，比重制版游戏人设好，至少年轻十岁。还有克劳德VS萨菲罗斯，体现游戏要素的巨大BOSS战、胜利结算音效的翻盖手机铃声，扎克斯与爱丽丝的感人回忆等等。什么叫杀必死（中日双语），这就是啊！,2024/1/21 16:37,12
5,帅啊,2006/12/16 18:47,0
5,赞就一个字！,2008/6/26 15:31,0
4,技术分，MAYA和诡异的峰谷,2010/5/30 2:45,0
5,FANS向作品 视觉5星,2007/12/20 19:36,3
4,时隔半年 终于把另一半看完了﹁_﹁,2012/7/14 23:08,1
4,强大的画面,2007/12/31 13:32,0
5,精美的画面，美呆了！,2010/2/16 20:33,0
5,效果很好。,2011/11/11 10:20,1
4,有点年代了,2011/9/7 13:49,0
5,就看打架都给满星,2009/5/5 22:14,0
5,我就是超爱FF，FF都是五星,2008/10/30 16:38,1
5,四星给画面+一星给没看到脸的女配,2012/5/24 15:25,0
4,3D效果真好,2010/2/11 17:13,0
5,CG赛高~~,2010/12/19 22:32,0
4,摆酷呗~,2010/10/30 23:10,0
4,11区人民真是太可怕了,2011/12/28 17:54,1
5,那个CG华丽的!,2010/9/4 20:52,0
5,痛哭流涕啊！,2010/2/4 22:31,0
4,01年的大成本惨败，05年的低调逆袭,2012/7/14 12:33,0
4,看不懂无所谓，很酷就够了,2011/9/17 12:55,1
4,炫目的画面，还有帅哥阿帅哥！,2011/5/30 22:19,0
4,本以为多少年后重温就不会再有感觉了~~~ 结果还是给赛菲罗斯和cloud的基情萌到了~~~,2010/2/14 21:39,0
4,很漂亮,2010/5/23 12:59,0
