rating,comment,time,votes
4,看了热评第一条陷入了一个思考，为什么我看的时候没有立刻意识到导演在往女性脸上喷尿，在不尊重女性。（我只是当一个搞笑情节看完了）到底是大家太敏感了？还是我的意识还没觉醒？,2025/1/29 21:39,20488
5,申公豹：小镇做题家的一生,2025/1/31 10:30,14660
5,好看到超出预期，打破了对哪吒闹海神话传说的既定想象，为故事塑造了符合时代的全新内核。第一部讲打破宿命，第二部是推翻规则，善恶无关种族，申公豹有自己的坚守与珍视，仙人有私心。跳出陈规，就会发现新的“真相”。无论是妖是魔、成人成仙，即便全世界挡在面前，也不要忘了那个心中有火、想与世界斗上一斗的自己。面上是魔童闹海，暗含的却是整个时代命题，细细品，其中有千滋百味的情感共震。,2025/1/29 11:29,18804
4,老毛病，菜挺好吃，女人在厨房,2025/1/30 23:12,13904
5,饺子的水准真的稳。本片是对第一部的全面升级，阴阳美学更加极致，水与火、红与蓝、善与恶等等元素多番碰撞与交融，最终激发出了澎湃而恢弘的冲击力。这一部的变身以及兵器的运用更燃、更爽，且富有想象力。情绪上依然是笑与泪兼具。内核上又不止于对命运不公的反抗，与不公斗争的不再只是哪吒，还有困于既定约束下退无可退的许多小人物，而当个体变成群体后，对个人命运的刻画变为对时代命运的洞察，这种主题上的升华让影片更有回味。值得二刷。,2025/1/29 11:28,13287
4,虽没有第一部“我命由我不由天”的惊艳金句，但更多了些“怎能不知道这世间的规则，由谁所定？”的结构性思考，无量仙翁的“个体失范代替制度失范”真是最佳切口。狠狠期待第三部！,2025/1/29 11:32,11717
5,何为“反父权”？79年的哪吒直观地以“反父亲的教导”来代表反父权的思想，19年的魔童哪吒横空出世，哪吒也得以拥有一对爱自己的爸妈，于是反父权=反命运，拒绝标签，我命由我。如果说第一部的反父权是直白对父系权威和命运掌控的反抗，那么25年第二部中的思路则全方位转变：哪吒不再为了反抗而反抗，这反而会导向另一个极端的禁锢；哪吒选择在看清了一切规则后抽身其外，不留任何转圜和调和的余地。我们多少也收到过所谓仙翁的‘绿牌’，但当你祛除所有泡沫，或许发现绿灯红灯根本没那么重要，走对自己的路，是魔又如何？！,2025/1/29 11:28,13169
4,感觉“我命由我不由天”的是申公豹，申公豹真的好努力，努力的小镇做题家，努力攀附强者才能让自己出人头地，好想哭,2025/1/31 12:41,6945
5,受够了大义的、无私的集体主义影像教育，看到敖闰这个角色甚至觉得珍贵——实际上每一位女性都可以是龙姑，第一位女龙王，利己又墙头草，能够看透名为秩序和惯例的谎言后摇摆阵营——不是所有人需要背负振兴龙族的自我感动大业，多数人需要做的首先是生存,2025/1/29 11:31,9040
5,申公豹没有怀疑是哪吒屠杀他族人，而我却怀疑是申公豹毁了陈塘关。“人心中的成见是一座大山”这已经不是正中我眉心了，这是一箭穿心顺带打了我两巴掌。,2025/2/2 13:07,4793
5,中国人有共同集体记忆的神话传说一定会提到哪吒闹海，所以春节看哪吒也是属于中国人自己的仪式感！延续第一部的优秀人设，第二部每个人物形象依旧很饱满，龙爸龙姑都好美！不过我还是最爱哪吒，他对于身份的自我认同与他的觉醒程度正相关的，让人觉得充满力量，一声声发问和呐喊震耳欲聋！真棒！2025用好电影开个好年！,2025/1/29 11:30,7251
4,《哪吒第二部：战火陈塘》。 讲出来了；看进去了。,2025/1/29 11:30,3967
